B0993986_S01_L001	                  Neisseria gonorrhoeae	 97.78	                    Neisseria gonorrhoeae MS11	  2.22	                    Neisseria gonorrhoeae NG-k51.05	  1.11
B0994486_S01_L001	                  Neisseria gonorrhoeae	 97.65	                    Neisseria gonorrhoeae MS11	  2.35	                    Neisseria gonorrhoeae NG-k51.05	  1.18
B0994811_S01_L001	                  Neisseria gonorrhoeae	 97.89	                    Neisseria gonorrhoeae MS11	  2.11	                    Neisseria gonorrhoeae NG-k51.05	  1.05
B0994850_S01_L001	                  Neisseria gonorrhoeae	 98.72	                    Neisseria gonorrhoeae MS11	  2.56	                    Neisseria gonorrhoeae NG-k51.05	  1.28
B1180909_S01_L001	                  Neisseria gonorrhoeae	 96.63	                    Neisseria gonorrhoeae MS11	  2.25	                    Neisseria gonorrhoeae NG-k51.05	  1.12
B1180975_S01_L001	                  Neisseria gonorrhoeae	100.00	                    Neisseria gonorrhoeae MS11	  2.22	                    Neisseria gonorrhoeae NG-k51.05	  1.11
B1181150_S01_L001	                  Neisseria gonorrhoeae	 98.88	                    Neisseria gonorrhoeae MS11	  2.25	                    Neisseria gonorrhoeae NG-k51.05	  1.12
B1181151_S01_L001	                  Neisseria gonorrhoeae	100.00	                    Neisseria gonorrhoeae MS11	  2.56	                    Neisseria gonorrhoeae NG-k51.05	  1.28
B1181158_S01_L001	                  Neisseria gonorrhoeae	100.00	                    Neisseria gonorrhoeae MS11	  2.38	                    Neisseria gonorrhoeae NG-k51.05	  1.19
B1181159_S01_L001	                  Neisseria gonorrhoeae	100.00	                    Neisseria gonorrhoeae MS11	  2.67	                    Neisseria gonorrhoeae NG-k51.05	  1.33
B1181507_S01_L001	                  Neisseria gonorrhoeae	 97.89	                    Neisseria gonorrhoeae MS11	  2.11	                    Neisseria gonorrhoeae NG-k51.05	  1.05
B1181903_S01_L001	                  Neisseria gonorrhoeae	100.00	                    Neisseria gonorrhoeae MS11	  2.33	                    Neisseria gonorrhoeae NG-k51.05	  1.16
B1182033_S01_L001	                  Neisseria gonorrhoeae	100.00	                    Neisseria gonorrhoeae MS11	  2.47	                    Neisseria gonorrhoeae NG-k51.05	  1.23
B1182034_S01_L001	                  Neisseria gonorrhoeae	 98.78	                    Neisseria gonorrhoeae MS11	  2.44	                    Neisseria gonorrhoeae NG-k51.05	  1.22
B1182882_S01_L001	                  Neisseria gonorrhoeae	 98.82	                    Neisseria gonorrhoeae MS11	  2.35	                    Neisseria gonorrhoeae NG-k51.05	  1.18
B1182969_S01_L001	                  Neisseria gonorrhoeae	100.00	                    Neisseria gonorrhoeae MS11	  2.08	                    Neisseria gonorrhoeae NG-k51.05	  1.04
B1182970_S01_L001	                  Neisseria gonorrhoeae	 98.85	                    Neisseria gonorrhoeae MS11	  2.30	                    Neisseria gonorrhoeae NG-k51.05	  1.15
B1183043_S01_L001	                  Neisseria gonorrhoeae	 98.84	                    Neisseria gonorrhoeae MS11	  2.33	                    Neisseria gonorrhoeae NG-k51.05	  1.16
B1183088_S01_L001	                  Neisseria gonorrhoeae	100.00	                    Neisseria gonorrhoeae MS11	  2.38	                    Neisseria gonorrhoeae NG-k51.05	  1.19
B1220214_S01_L001	                  Neisseria gonorrhoeae	100.00	                    Neisseria gonorrhoeae MS11	  1.98	                    Neisseria gonorrhoeae NG-k51.05	  0.99
B1299860_S01_L001	                  Neisseria gonorrhoeae	100.00	                    Neisseria gonorrhoeae MS11	  1.68	                    Neisseria gonorrhoeae NG-k51.05	  0.84
B1330897_S01_L001	                  Neisseria gonorrhoeae	 96.39	                    Neisseria gonorrhoeae MS11	  2.41	                    Neisseria gonorrhoeae NG-k51.05	  1.20
B1330898_S01_L001	                  Neisseria gonorrhoeae	 97.65	                    Neisseria gonorrhoeae MS11	  2.35	                    Neisseria gonorrhoeae NG-k51.05	  1.18
B1349086_S01_L001	                  Neisseria gonorrhoeae	 96.51	                    Neisseria gonorrhoeae MS11	  2.33	                    Neisseria gonorrhoeae NG-k51.05	  1.16
B1354959_S01_L001	                  Neisseria gonorrhoeae	100.00	                    Neisseria gonorrhoeae MS11	  2.06	                    Neisseria gonorrhoeae NG-k51.05	  1.03
B1367104_S01_L001	                  Neisseria gonorrhoeae	 96.88	                    Neisseria gonorrhoeae MS11	  2.08	                    Neisseria gonorrhoeae NG-k51.05	  1.04
B1367106_S01_L001	                  Neisseria gonorrhoeae	 96.97	                    Neisseria gonorrhoeae MS11	  2.02	                    Neisseria gonorrhoeae NG-k51.05	  1.01
B1367131_S01_L001	                  Neisseria gonorrhoeae	100.00	                    Neisseria gonorrhoeae MS11	  1.96	                    Neisseria gonorrhoeae NG-k51.05	  0.98
B1399833_S01_L001	                  Neisseria gonorrhoeae	100.00	                    Neisseria gonorrhoeae MS11	  2.02	                    Neisseria gonorrhoeae NG-k51.05	  1.01
B1838859_S01_L001	                  Neisseria gonorrhoeae	 98.75	                    Neisseria gonorrhoeae MS11	  2.50	                    Neisseria gonorrhoeae NG-k51.05	  1.25
B2092301_S01_L001	                  Neisseria gonorrhoeae	 98.82	                    Neisseria gonorrhoeae MS11	  2.35	                    Neisseria gonorrhoeae NG-k51.05	  1.18
B2092354_S01_L001	                  Neisseria gonorrhoeae	 98.91	                    Neisseria gonorrhoeae MS11	  2.17	                    Neisseria gonorrhoeae NG-k51.05	  1.09
B2092391_S01_L001	                  Neisseria gonorrhoeae	 98.90	                    Neisseria gonorrhoeae MS11	  2.20	                    Neisseria gonorrhoeae NG-k51.05	  1.10
B2541877_S01_L001	                  Neisseria gonorrhoeae	100.00	                    Neisseria gonorrhoeae MS11	  2.27	                    Neisseria gonorrhoeae NG-k51.05	  1.14
